HDI_rank,Country,HDI_Value,Life_Expectancy,Expected_Schooling_Years,Mean_Schooling_Years,GNI_Per_Capita,GNI_HDI_Rank_Difference
173.0,Benin,0.504,60.0,10.3,3.1,3406.0,-14.0
174.0,Gambia,0.495,62.9,9.0,4.5,2090.0,-1.0
175.0,Eritrea,0.493,66.6,7.3,5.1,1957.0,2.0
176.0,Ethiopia,0.492,65.6,9.9,2.4,2369.0,-8.0
177.0,Liberia,0.487,61.1,10.5,5.3,1330.0,8.0
177.0,Madagascar,0.487,65.2,9.2,4.6,1464.0,4.0
179.0,Guinea-Bissau,0.483,59.9,10.5,3.7,1880.0,-1.0
180.0,Congo (Democratic Republic of the),0.481,59.7,9.6,7.2,1080.0,9.0
181.0,Guinea,0.471,59.0,10.2,2.4,2404.0,-14.0
182.0,Afghanistan,0.462,62.9,10.7,2.5,1335.0,2.0
183.0,Mozambique,0.461,59.6,10.7,3.9,1219.0,4.0
184.0,Sierra Leone,0.458,60.4,9.0,3.5,1613.0,-4.0
185.0,Burkina Faso,0.438,59.8,8.1,2.3,2037.0,-9.0
186.0,Yemen,0.424,63.7,7.9,2.8,1106.0,2.0
187.0,Burundi,0.42,62.0,10.0,3.3,712.0,5.0
188.0,Mali,0.41,59.4,7.0,1.6,2044.0,-13.0
189.0,Chad,0.394,53.0,8.2,2.3,1389.0,-6.0
189.0,Niger,0.394,62.1,7.2,1.3,1283.0,-3.0
191.0,Central African Republic,0.387,54.5,7.3,4.0,869.0,0.0
192.0,South Sudan,0.381,55.6,5.6,5.7,691.0,1.0
193.0,Somalia,0.38,56.1,7.6,1.9,1072.0,-3.0
